$SMH_ModName	Smilodon
$SMH_pages0	Настройка

$SMH_StaggerType0	Нет ошеломления
$SMH_StaggerType1	Рана ошеломление
$SMH_StaggerType2	Разрыв ошеломление (рекомендуется)

$SMH_HeaderOption_General	Общее настройки
$SMH_ToggleOption_DisableAttacksOfOpprtunity	Нападения по возможности:
$SMH_SliderOption_MinimumStaminaCostPowerAttack	Минимум запаса сил для силовых атак:
$SMH_ToggleOption_DisableMeleeBoost	Увеличение урона от ближнего боя:
$SMH_SliderOption_MinimumStaminaCostBash	Минимум баш запаса сил:
$SMH_ToggleOption_DisableDragonPenalties	Уменьшение урона против массивных целей:

$SMH_HeaderOption_DynamicCombat	Динамический бой
$SMH_ToggleOption_DisableDynamicCombat	Включено:
$SMH_ToggleOption_DisableTimedBlock	Временный блок:
$SMH_MenuOption_StaggerType	Ошеломление:
$SMH_ToggleOption_DisableSpeedNerfZeroStamina	Усталость:
$SMH_SliderOption_AttacksCostStamina_1H	1Руч. стоимость запаса сил:
$SMH_ToggleOption_DisableBowInterrupt	Прерывания лука:
$SMH_SliderOption_AttacksCostStamina_2H	2Руч. стоимость запаса сил:

$SMH_HeaderOption_Misc	Разное
$SMH_TextOption_RemoveSpell	УДАЛИТЬ ЗАКЛИНАНИЕ

$SMH_InfoText_DisableAttacksOfOpprtunity	Атаки наносят больше урона, если цель ударяется сзади, накладывает заклинание, атакует силовой атакой, натягивает лук, ошеломляется или парализуется. Это влияет на все входящие и исходящие атаки.
$SMH_InfoText_MinimumStaminaCostPowerAttack	Вам нужно много запаса сил для силовой атаки. Имея меньше выносливости, силовая атака не получается и становится обычной атакой. Это затрагивает всех участников.
$SMH_InfoText_DisableMeleeBoost	Все атаки в ближнем бою (кроме атак в скрытности) наносят на 25%% больше урона. В условиях высокой летальности это компенсирует преимущество дальних атак. Это влияет на все входящие и исходящие атаки.
$SMH_InfoText_MinimumStaminaCostBash	Вам нужно много запаса сил, чтобы выполнить удар. Наличие меньше выносливости заставляет баш потерпеть неудачу. Это затрагивает всех участников.
$SMH_InfoText_DisableDragonPenalties	Уменьшает ваш урон от атаки, урон от критического урона и величину заклинания против массивных целей (драконов, центурионов, гигантов, мамонтов, лордов-вампиров). Это расширяет борьбу против эпических противников.

$SMH_InfoText_DisableDynamicCombat	Динамический бой - это система, ответственная за ошеломления, временный блок и модификаторы запаса сил для всех участников боя. Если вы не хотите использовать какие-либо из этих функций, отключение динамического боя приведет к незначительному улучшению производительности.
$SMH_InfoText_DisableTimedBlock	Блокировка более эффективна в течение 1 секунды после поднятия щита или оружия, чтобы блокировать, блокируя на 20% больше урона и ошеломляет атакующих в ближнем бою. Если вы не блокируете какие-либо атаки в течение этого времени, начинает работать 3-секундный откат. Это относится только к игроку.
$SMH_InfoText_StaggerType	Рана ошеломление: Актеры ошеломляются, когда их здоровье опускается ниже 25%% или 12,5%% от их максимального здоровья в любое время. Разрыв ошеломление: Актеры ошеломляются, когда они теряют 30%% своего оставшегося здоровья очень быстро, находясь в бою. Требуется скрипт для запуска на каждом актере, увеличивая нагрузку скриптом. Это затрагивает всех действующих лиц на поле битвы.
$SMH_InfoText_DisableSpeedNerfZeroStamina	Снижает скорость передвижения на 15%%, когда запас сил закончился, пока он не начнет восстанавливаться, как в бою, так и вне боя. Это затрагивает всех действующих лиц на поле битвы.
$SMH_InfoText_AttacksCostStamina_1H	Замахи одноручным оружием или кулаком, стоят запаса сил. Установка этого параметра на 0 приведет к отключению подсистемы затрат на запас сил для одноруких атак. Это затрагивает всех действующих лиц на поле битвы.
$SMH_InfoText_DisableBowInterrupt	Будучи атакованым атакой врага или взрыва при натягивании или удержании лука кратковременно ошеломляет обладателя, отбрасывая цель или прерывая выстрел. Это затрагивает всех действующих лиц на поле битвы.
$SMH_InfoText_AttacksCostStamina_2H	Размахивая двуручным оружием или полностью вытягивая лук, стоит много запаса сил. Установка этого значения на 0 приведет к отключению подсистемы затрат на выносливость для двухручных атак. Это затрагивает всех действующих лиц на поле битвы.

$SMH_InfoText_Save	Сохраните свой пресет.
$SMH_InfoText_RemoveSpell	Удаляет заклинание настройки мода, добавленное Smilodon.
$SMH_InfoText_Load	Загрузите свой пресет.

$SMH_RemoveSpell_Success	Заклинание настройки мода успешно удалено!
$SMH_RemoveSpell_Failure	Ошибка: Заклинание настройки мода не найдено!

$SMH_FISSNotFound	FISSES не установлен. Сохранение отключено.
$SMH_PleaseWait	Пожалуйста, не покидайте меню MCM, пока новое окно сообщения не покажет, что операция завершена.

$SMH_Save_AreYouSure	Вы уверены? Сохранение этого пресета приведет к перезаписи текущих настроек.
$SMH_Save_Failure	Ошибка: Заданный файл не удалось сохранить!
$SMH_Save_Success	Ваши настройки успешно сохранены!

$SMH_Load_AreYouSure	Вы уверены? Загрузка этого пресета приведет к перезаписи текущих настроек.
$SMH_Load_Failure	Ошибка: Заданный файл не загрузился!
$SMH_Load_Success	Ваши настройки успешно загружены!
